1,MARCA/MODELO,COR/MILHAR,ANO,ART,DATA,RAI RECUPERAÇÃO,DATA,,,,,,,
5591-KCG,FIAT/UNO ,BRANC/3205,95/96,155,30/10,27173731,,,,,,,,
5604-PRR,GM/CORSA GL (PICK UP),PRATA/6318,97/97,155,16/4,11778463,25/01/19,,,,,,,
5606-NLM,GM/CORSA SEDAN MAXX,PRATA/4359,43652,157,31/1,9116303,02/09/19,,,,,,,
5617-BGR,GM/D20 CUSTOM S,BRANCA/5017,91/92,155,20/2,23494428,23/02/22,,,,,,,
5650-NLQ,GM/CORSA HATCH MAXX,PRATA/4292,08/09,157,10/3,18596274,11/02/21,,,,,,,
5657-OMW,HONDA/BIZ 125 EX,BRAN/9614,12/13,155,25/11,27527803,25/11/22,,,,,,,
5665-KWP,GM/CORSA SUPER,AZUL/3227,99,155,18/3,14290400,13/02/19,,,,,,,
5680-DWT,VW/GOLF 1.6 SPORTLINE ,PRATA/7360,07/08,155,30/11,39071057,01/12/24,,,,,,,
5715-JHB,GM/CLASSIC LIFE,PRETA/0108,06/06,155,03/04,41084499,04/04/25,,,,,,,
5756-PGG,HONDA / BIZ 125  (PIRENOPOLIS),VERM/9507,12/12,155,28/12,23293108,10/02/22,,,,,,,
5770-KEN,HONDA/CG 125 KS,VERM/3608,44228,155,25/8,20883778,27/08/21,,,,,,,
5784-JGK,GM/CORSA WIND,PRATA/0802,94/94,175,27/6,10916476,19/03/20,,,,,,,
5793-NWJ,GM/KADET SL ,CINZA/1510,93/93,155,3/7,15520962,27/06/19,,,,,,,
5810-NIZ,GM/MONZA SL,AZUL/2971,92/92,155,4/7,16773885,04/07/20,,,,,,,
5812-KEY,HONDA/CBX 250 TWISTER,PRETA/8782,03/03,155,16/09,SEM RAI MAS CONSTA RECUPERADA ,,,,,,,,
5820-JJO,HONDA/C100 BIZ ES,VERDE/5226,00/01,155,15/7,20332416,19/07/21,,,,,,,
5821-NWO,HONDA/CG 150 TITAN,PRETA/1117,11/11,155,13/12,27808626,14/12/22,,,,,,,
5833-GSF,VW/PARATI CL 1.6 M,BRANCA/4787,97/98,157,26/06,30920964,09/07/23,,,,,,,
5845-NFD,HONDA/ CG 150 TITAN ESD,VERM/5328,04/04,155,3/8,20955163,01/09/21,,,,,,,
5851-KET,HONDA /CG 125 TITAN KS,VERM/6411,2/3,155,14/07,31092677,20/07/23,,,,,,,
5856-CFV,HONDA/CG 125 TITAN,VERM/2229,97/98,155,25/04,24443169,26/04/22,,,,,,,
5859-KEY,HONDA CG TITAN,VERDE/0437,2/2,155,30/03,35062930,02/04/24,,,,,,,
5866-NGZ,YAMAHA/YBR 125 ,PRATA 1563,44384,155,21/9,21261585,22/09/21,,,,,,,
5870-PRC,GM/S10 2.4 S,BRANCA/8932,43831,157,15/3,14273198,17/10/20,,,,,,,
5879-NJW,YAMAHA/ FACTOR YBR 125,PRETA/3352,08/09,155,10/07,36738663,12\07\24,,,,,,,
5883-JGK,TOYOTA/COROLLA XEI,PRETA/1684,44353,157,13/11,22024866,16/11/21,,,,,,,
5887-NFR,HONDA/CG 125 FAN,VERM,05,157,22/1,9021070,22/01/19,,,,,,,
5891-OOE,VW/FOX 1.6 GII,BRANC/7000,13/14,157,19/2,18350922,20/02/21,,,,,,,
5895-PQG,HONDA/CG 150 FAN,VERM/6976,15/15,157,13/04,35407965,22/04/24,,,,,,,
5899-PQA,HONDA/CG FAN 160 ESDI,PRETA,16/17,157,28/3,15535688,09/10/20,,,,,,,
5910-NBJ,FIAT / UNO ELETRONIC,BRANCA/9272,94/94,155,5/3,23693811,08/03/02,,,,,,,
5912-JKP,HONDA CITY LX,BRANC/4096,14/14,155,30/08,37602415,02\09\24,,,,,,,
5929-JHE,GM/VECTRA SEDAN ELEGANCE,PRATA/49170,10/11,171,23/12,13248445,05/07/20,,,,,,,
5961-KEH,VW/KOMBI,BRANCA/1272,01/02,155,05/12,393441993,07/12/24,,,,,,,
5972-PQE ,HONDA / BIZ 125 ES,PRETA/3724,11/12,155,24/11,12926078,26/12/19,,,,,,,
5980-OMP,HYUNDAI/HB S 1.0 M,PRATA/8953,13/14,155,15/06,25202864,16/06/22,,,,,,,
5989-QNT,HONDA / BIZ C100,VERME/4591,00/00,155,3/3,14075510,30/11/19,,,,,,,
5992-NKB,HONDA/CG 150 TITAN ,CINZA/1333,08/08,155,30/03,29744960,24/04/23,,,,,,,
5B29-PRI,TOYOTA HILLUX,BRANCA/9047,18/18,157155,15/9,21194386,17/09/21,,,,,,,
5B79-KEW,GM/CORSA HATCH COR PRETA ANO 2002/2003 VEICULO COM REGISTRO DE APROPRIAÇÃO INDEBITA,,,,,40209679,11/02/25,,,,,,,
5B80-IEJ ,VOLVO/NL10 340,BRANC/9895,95/95,155,05/12,27669451,05/12/22,,,,,,,
5C36-JHB,FIAT/UNO MILLE FIRE,AZUL/0298,06/06,155,31/03,41111129,06/04/25,,,,,,,
5F66-NLQ,HONDA/CG 150 FAN ESI,VERM/2766,09/10,155,13/10,27005477,19/10/22,,,,,,,
5G87-KEZ,HONDA/CG 125 KS,PRATA/1921,02/03,155,28/10,38519943,28/10/24,,,,,,,
5H41-OAP,HONDA/CG 150 TITAN EX,BRANCA/2079,14/14,155,20/10,27065741,23/10/22,,,,,,,
5J54-JFI,GM/CORSA WIND,PRATA/9149,98/98,155,7/11,21964205,09/11/21,,,,,,,
6018-NGX,JTA/SUZUKI  125 YES,AZUL,07/08,155,18/11,27466996,20/11/22,,,,,,,
6038-KED,HONDA / CG 150 TITAN KS,VERM/7012,43684,155,7/5,10840768,03/03/20,,,,,,,
6066-NKO,HONDA/ CG 150 TITAN,VERM/8399,09/09,157,8/11,27476948,21/11/22,,,,,,,
6075-KEX,HONDA / TWISTER,VERDE/1241,43527,155,8/2,11676473,20/06/19,,,,,,,
6076-NGS,HONDA/CIVIC LXS FLEX,PRATA/3416,17/18,157,6/5,18917143,05/04/21,,,,,,,
6086-KDM,HONDA/CBX 200 STRADA,VERM,98,155,30/5,17981791,23/01/21,,,,,,,
6092-NKC,HONDA BIZ 125,BRANCA/2563,17/18,157,20/10,12444820,25/08/19,,,,,,,
6113-JHY,HONDA BIZ C 100,AZUL/1696,43466,155,29/8,11741985,21/10/19,,,,,,,
6113-JIN,FIAT SIENA EL FLEX ,CINZA/7722,10/11,155,27/03,29307866,28/03/23,,,,,,,
6119-CHF,VW/GOL MI ,PRATA/8173,97/97,155,17/7,20334364,19/07/21,,,,,,,
6122-NKL,VW/GOL 1.0 ,PRETA/3864,44416,157,25/10,22003449,12/11/21,,,,,,,
6132-OMQ,HONDA BIZ C100,VERM/3157,43466,155,14/5,11218480,30/08/19,,,,,,,
6145-KCN,VW/GOL 1000,PRATA/3060,95/96,155,11/06,36347022,18/06/24,,,,,,,
6169-OLN,HONDA BROS 150CC,LARANJA/8089,43779,155,15/7,11389773,20/07/19,,,,,,,
6176-KCH,HONDA C 100 BIZ ES,VERDE/9087,2000,155,3/8,11401748,03/08/19,,,,,,,
6189-RAN (ALTO ARAGUAIA/MT),HONDA/NXR160 BROS,PRETA/6875,19/20,155,10/09,31889887,11/09/23,,,,,,,
6200-PRQ,TOYOTA/HILUX,PRATA/3506,17/17,155,16/04,29658762,19/04/23,,,,,,,
6216-NWA,FIAT UNO VIVACE 1.0,AMARELA/9072,10/11,157,09/12,39216754,09/12/24,,,,,,,
6221-KDS,VW/GOL PLUS MI,BRANCA/5879,96/97,155,06/12,39173542,07/12/24,,,,,,,
6224-JKH,HONDA C/100 BIZ,AZUL/4712,04/05,155,25/9,12361514,04/08/19,,,,,,,
6230-GJM,HONDA/NXR 160 BROS ,PRETA/8083,16/16,155,13/3,18647855,18/03/21,,,,,,,
6255-GZZ,HONDA C100 BIZ,VERM/6665,99,155,17/6,12349127,16/10/19,,,,,,,
6287-NKM,HONDA/BIZ 125 ES,VERM,09/09,157,17/5,15162282,15/10/19,,,,,,,
6289-KAY,VW/GOL CL,AZUL/4092,91/92,155,5/7,20381744,22/07/21,,,,,,,
6345-NWI,HONDA C100 BIZ,VERM/6578,2003,155,6/1,13381169,03/06/20,,,,,,,
6368-OGY,HONDA C100 BIZ ,AZUL/3327,02/02,155,20/2,13933610,07/01/20,,,,,,,
6412-KAU,HONDA/CG 125 FAN KS,PRETA/5557,09/10,155,17/02,40353827,19/02/25,,,,,,,
6430-GPP,HONDA C100 BIZ ES,VERME/0769,04/04,155,14/1,13469123,21/02/20,,,,,,,
6435-NGE,HONDA C 100 BIZ 125 KS,VERMELHA/9007,44353,155,8/1,18079292,14/01/20,,,,,,,
6439-NGT,HONDA/BIZ 125 ES,PRETA,07/08,157,11/06,25129511,11/06/22,,,,,,,
6466-ONI,HONDA/CG 150 FAN,PRETA/0552,13/14,155,08/08,37191800,08/08/24,,,,,,,
6470-NVV,HYUNDAI/ TUCSON GLSB,PRATA/2862,10/11,155,22/03,40882671,23/03/25,,,,,,,
6473-KDC,GM/CORSA WIND,PRETA/9395,97/97,155,2/12,33132035,02/12/23,,,,,,,
6533-PRG,HONDA CG 125 FAN,VERMELHA/5000,2005,155,4/5,10237329,30/01/21,,,,,,,
6541-JGJ,HONDA CG 125 FAN,VERMELHA/7481,43652,155,6/5,10249069,06/05/19,,,,,,,
6572-OGN,HONDA/CB 300R,AZUL/5291,12/12,155,15/08,26498044,14/09/22,,,,,,,
6608-NJX,HONDA CG 125 FAN KS,VERME/6110,14/15,157,25/5,15052467,07/05/19,,,,,,,
6609-NFE,HONDA CG 125 TITAN ES,AMAREL/2550,02/03,155,8/3,14174751,25/05/20,,,,,,,
6610/OMI,FORD/ECOSPORT FSL,PRATA/1815,12/13,157,13/1,22901184,14/01/22,,,,,,,
6622-LWM,HONDA CG 125 TITAN KS,VERMELHA/2619,43780,157,17/4,10081522,10/03/20,,,,,,,
6636-BNF,GM/MONZA SL,VERM/2083,93/93,155,30/12,33631104,03/01/24,,,,,,,
6640-OMP,VW/ FOX 1.6 GII,PRATA/7417,12/13,155,09/06,25682616,20/07/22,,,,,,,
6660- JHB,CHEVROLET CLASSIC,BEGE 4657,44113,155,30/10,17326621,23/04/19,,,,,,,
6666-OMS,HONDA CG 125 TITAN KS,AZUL/7032,00/00,155,15/4,12085938,01/11/20,,,,,,,
6672-NFU,HONDA/CBX 250 TWISTER,PRATA/2894,05/05,155,30/01,40024277,30/01/25,,,,,,,
6674-KBH,GM/CHEVETTE SL,PRATA/3800,81/81,157,29/03,40982801,29/03/25,,,,,,,
6680-NWK,HONDA CG 150 TITAN,VERME/9735,09/09,157,25/5,15101923,25/09/19,,,,,,,
6684-NFH,HONDA/C100 BIZ MAIS,PRATA/7690,04/04,155,5/4,19047220,15/04/21,,,,,,,
6692-KEQ,HONDA/ CG 125 CARGO,BRANCA/4783,02/02,155,21/09,38011271,25\09,,,,,,,
6729-NWK,HONDA XRE 300,BRANCA/9269,2014,155,25/3,14349723,29/05/20,,,,,,,
6751-AAY,HONDA/ C100 BIZ,AZUL/5400,43466,155,12/7,11320147,25/03/20,,,,,,,
6755-NZL,HONDA/ CG 125 TITAN,VERME/1836,99/00,155,22/11,7670493,25/07/19,,,,,,,
6778-NGO,HONDA/ CG 125 TITAN,VERM/0690,97/97,155,7/6,15692502,19/07/20,,,,,,,
6783-KBX,VW GOL 1000L,BRANCA/8194,95/95,155,6/9,21038308,06/09/21,,,,,,,
6785-PRV,HONDA/CG 160 FAN,VERM/0022,18/18,155,18/12,17550046,19/12/20,,,,,,,
6788-QBE,HONDA/ CG 150 FAN ESDI,PRETA/6584,14,155,13/10,12318739,19/12/20,,,,,,,
6801-KEH,HONDA/ CG 150 FAN ESI,VERM/5660,11/11,155,23/5,16772971,17/10/20,,,,,,,
6806-PQV,HONDA/ TITAN 150 ES ,PRETA/5481,43684,157,29/4,9358455,22/09/19,,,,,,,
6821-NVP,HONDA/CG 125 FAN ES,LARANJA/7969,10/10,155,19/07,23120265,30/01/22,,,,,,,
6824-JET,HONDA/BIZ 110,VERM/0851,17/18,157,28/3,14475839,03/05/19,,,,,,,
6824-JET,VW / GOL MI,AZUL/3335,97/97,155,12/11,22057836,16/11/21,,,,,,,
6827-NLN,HONDA/CG 125 FAN,AZUL/1481,09/10,155,23/04,29739316,24/04/23,,,,,,,
6845- NFT,HONDA/CG 150 TITAN ESD,VERM/4647,05/05,155,16/08,37375136,19/08/24,,,,,,,
6871-KEB            ,HONDA/ C100 BIZ ,VERM/8304,00/01,155,04/09,26349965,04/09/22,,,,,,,
6875-ONA,RENAULT/ LOGAN EXP,PRATA/ 2829,12/13,155,27/07,36997527,1082024,,,,,,,
6899-KBJ,HONDA/BIZ 125 ES,VERM/1225,11/12,155,13/1,13710017,05/04/20,,,,,,,
6900-LWE,HONDA/C100 BIZ,VERDE/6200,00/01,155,04/03,34897961,22/03/24,,,,,,,
6907-PRU,HONDA/BIZ 125 ES/,VERMELHA/5060,43653,157,25/2,9387343,14/01/20,,,,,,,
6937-PRC,HONDA/BIZ 125 KS,ROSA/9452,43748,157,12/1,9928891,25/02/19,,,,,,,
6975-PQC,HONDA/BIZ C100 ES,AZUL/8892,01/02,155,9/2,14179298,11/04/19,,,,,,,
6A20-SSH,YAMAHA/YBR 150 FACTOR,AZUL/8252,24/24,157,18/03,41207883,11/04/25,,,,,,,
6A40-RFN,VW GOL 1.0 L  G7,PRETA/4576,20/21,157,16/1,22952449,18/01/22,,,,,,,
6A54-QCK,HONDA/C-100 BIZ ES,VERDE/9979,00/00,155,12/1,9046297,11/03/20,,,,,,,
6A58-PBA,FIAT / STRADA ,PRATA/2829,17/17,157,19/01,33882567,19/01/24,,,,,,,
6B16-ADW,VW JETTA 2.0,AZUL/5532,13/13,155,03/04,35094190,04/04/24,,,,,,,
6B37-QBL,HONDA CB 300R,PRETA/1519,14/14,155,22/10,32532553,23/10/23,,,,,,,
6B56-OGN,HONDA/ CG 150 FAN ESI,VERM/9728,11/12,155,31/12,39585057,02/01/25,,,,,,,
6C49-QVC,HONDA/ CG 160 TITAN,AZUL/3237,19/20,155,16/12,39340020,17/12/24,,,,,,,
6C83-JIU,GM/VECTRA GT-X,PRETA/2730,11/11,157,15/11,38868742,18/11/24,,,,,,,
6D72-PQE,RENAUT SANDERO,VERM/0115,15/16,157,20/02,40765565,16/03/25,,,,,,,
6F04-NEP,FORD/ FIESTA FLEX,AZUL/3628,11/12,157,17/11,27429740,18/11/22,,,,,,,
6F44-RCB,HONDA/NXR 160 BROS,VERM/0494,2020,157,14/12,22521502,17/12/21,,,,,,,
6F95-RBU,YAMAHA/ FZ25 FAZER,AZU/5405,20/21,155,07/09,31856904,09/09/23,,,,,,,
6G16-RBO,HYUNDAI/ HB20 SENSE,BRANCA/2007,20/21,155,31/08,31797523,05/09/23,,,,,,,
6G35-RBS,HONDA BIZ 125,PRATA/3441,20/20,155,6/12,17415972,18/01/19,,,,,,,
6G39-QUH,CHEVROLET/ONIX,BRANCA/6219,19/19,155,31/12,33616222,03/01/24,,,,,,,
6I45-AKC,GM/CORSA MILENIUM,PRATA/6147,02/02,155,23/10,27105458,26/10/22,,,,,,,
6I93-SCB,HONDA/ PCX 150 DLX ABS,PRATA/7457,22/22,155,11/06,36355573,18/06/24,,,,,,,
7035-KDN,VW/GOL 16V PLUS,VERDE/,98/98,155,18/05,30132066,18/05/23,,,,,,,
7036-KDA,HONDA/C100 BIZ,VERM/5445,00,155,16/12,13139142,07/12/20,,,,,,,
7058- JVR,HONDA/CG 125 FAN,CINZA/6259,07/08,157,16/02,28732268,,,,,,,,
7071-DLT,HONDA/C100 BIZ ES,VERM/7471,43527,155,27/8,11884174,17/12/19,,,,,,,
7096-KEG,VW/GOL 16 V PLUS,BEGE/6849,01/01,155,09/10,38302412,14/10/24,,,,,,,
7108-MNP,HONDA CBX 250 TWISTER,PRATA/2216,05/05,155,01/01,,,,,,,,,
7108-MNP,HONDA/CBX 250 TWISTER,PRATA/2216,5/5,155,01/01,28056282,02/01/23,,,,,,,
7124-NGL,FIAT/SIENA FIRE FLEX,VERM/1309,06/07,155,22/1,33958651,23/01/24,,,,,,,
7199-PAO,HONDA/CB 300R,VERMELHA/0019,43382,157,13/10,8276059,10/09/19,,,,,,,
7208-FKJ,HONDA/CBX200 STRADA,VERM/0755,94/94,155,16/8,11568299,08/11/19,,,,,,,
7211-OGW,YAMAHA/YS150 FAZER SED,PRETA,18/19,157,28/3,14387073,20/08/19,,,,,,,
7213-QBE,HONDA/CG 125 FAN,VERMELHA/6117,43590,157,22/1,9021070,29/03/20,,,,,,,
7221-KDJ,HONDA/ CBX ESTRADA 200,ROXA,97/98,155,23/11,15510662,22/01/19,,,,,,,
7226-PRV,HONDA/CG 125 FAN KS ,PRETA/2649,43811,157,6/1,8887208,03/07/20,,,,,,,
7236-NFL,HONDA/C100 BIZ ES,VERM/7585,04/05,155,06/10,26829242,07/10/22,,,,,,,
7288-ANA,HONDA/CG 125 TITAN,VERM/0436,00/01,155,23/7,15826901,08/01/19,,,,,,,
7327-JES,GM/ CORSA WIND,BRANC/8410,97/97,155,4/11,D.F,--,,,,,,,
7359-ONL,HONDA/CG 125 TITAN,VERM / 0844,94/95,155,16/11,17224489,31/07/20,,,,,,,
7372-KCA,HONDA/CG 125 TITAN KS,VERM/8396,43863,155,14/11,17133803,17/11/20,,,,,,,
7386-NKB,GM/CORSA SEDAN PREMIUN,PRATA/8482,08/09,155,14/04,41266113,15/04/25,,,,,,,
7399-HGU,HONDA/CG 125 TITAN KS,VERDE/3860,03/04,155,25/4,14697927,16/11/20,,,,,,,
7425-KEG,HONDA CG 125 TITAN ,PRATA/ 3261,00/00,155,03/08,37112278,03/08/24,,,,,,,
7427-OGK,HONDA/CG 150 TITAN ESD,PRETA/6635,11/12,155,13/06,30528065,14/06/23,,,,,,,
7474-NVT,HONDA/BIZ 125 ES,VERM/1900,44511,155,17/3,18687051,18/03/21,,,,,,,
7492-BOI,HONDA/CG 150 FAN ESI,VERME/4226,11/11,155,3/2,13716661,05/05/20,,,,,,,
7493-KBB,FIAT/UNO ELETRONIC,VERDE/7192,94/94,157,05/04,24149341,07/04/22,,,,,,,
7532-JIG,HONDA/CG 150 FAN ESI,PRATA/4784,10/11,157,16/9,16405314,04/02/20,,,,,,,
7540-CVM,HONDA/CG 150 SPORT,VERM/6243,06,157,8/5,14863802,17/09/20,,,,,,,
7542-JKA,HONDA/CG 150 SPORT,VERME/3885,07/08,157,4/7,15692502,09/05/20,,,,,,,
7549-KCZ,HONDA/NX ,VERM/4557,89/89,155,27/02,34602335,03/03/24,,,,,,,
7588-KCD,FIAT/PREMIO,BRANCA/9933,14/15,155,19/7,14832992,07/05/20,,,,,,,
7608-NFM,HONDA/C100 BIZ ES,VERME/8040,44290,155,24/1,18023246,19/07/20,,,,,,,
7619-NFD,HONDA/CG 150 TITAN ES,PRETA/6330,06/07,155,5/2,13739808,26/01/21,,,,,,,
7627-OGP,HONDA/CG 150 TITAN ESD,VERME/7371,8,155,22/11,12828061,06/02/20,,,,,,,
7630-PQG,VW/ NOVO GOL TL,BRANCA/4065,18/18,155,23/07,36939426,24/07/24,,,,,,,
7645-OQK,HONDA/CG 150 TITAN EX,VERMELHA/5571,14/15,157,17/3,9642900,22/11/19,,,,,,,
7653-NFI,HONDA/ C 100 BIZ ES,VERM/2490,44290,155,23/12,22665060,27/12/21,,,,,,,
7688-KEI,HONDA/CG 150 TITAN KS,VERDE/0406,43589,155,8/9,11884449,19/03/19,,,,,,,
7699-JKL,I/SUZUKI G.VITARA,PRETA/1008,13/13,155,28/3,18900681,04/04/21,,,,,,,
7710-HJW,HONDA/CG 150 TITAN KS,PRETA/8284,43320,155,9/10,8029144,09/09/19,,,,,,,
7751-KDE,VW GOL MI,VERM/3254,97/98,155,30/09,32207175,02/10/23,,,,,,,
7793-KDC,VW/ GOL CL 1.6 MI,BRANC/1948,97/97,155,06/04,41380760,09/04/25,,,,,,,
7795-JJB,HONDA/CG 160 FAN,VERM,20/20,157,17/9,16411151,17/10/18,,,,,,,
7798-BKW,VW/GOL,BRANCA/3709,92/93,155,18/08,XXXXXX,XXX,,,,,,,
7803-NFQ,HONDA/CG 150 TITAN,PRETA/9650,44321,157,24/6,20355952,20/07/21,,,,,,,
7815-JGE,HONDA/CG 160 START ,VERM/0792,16/16,155,19/8,12698020,17/09/20,,,,,,,
7818-JEN,GM/CORSA SUPER (Abadiânia),AZUL/9704,96/96,155,16/03,35646773,06/05/24,,,,,,,
7818-NLU,HONDA/CG150 FAN ESDI,PRETA/0930,12/13,157,24/3,14342938,19/11/19,,,,,,,
7823-KDU,VW/GOL SPECIAL,BRANCA/8278,98/99,155,21/09,RECUPERADO NO DF,24/09/23,,,,,,,
7839-GLE,HONDA/CIVIC LXS FLEX,DOURADA/1321,08/08,157,12/12,13653497,24/03/20,,,,,,,
7847-JKH,HONDA/CG 150 TITAN,PRATA/1772,05/06,155,04/02,28550449,06/02/23,,,,,,,
7847-NWA,HONDA/NX-4 FALCON,PRETA/2205,05/05,155,14/3,14252000,29/01/20,,,,,,,
7848-HRG,GM CORSA MILENIUM,,02/02,155,23/08,,,,,,,,,
7848-NGW,HONDA/NXR150 BROS,PRETA/3585,14/14,157,9/1,13417197,16/03/20,,,,,,,
7867-KEP,HONDA/C 100 BIZ ES ,AZUL/0190,2/2,155,28/09,32265349,05/10/23,,,,,,,
7902-NGY,HONDA BIZ 125 KS,VERM/0670,44384,155,13/3,18672756,17/03/21,,,,,,,
7955-PRU,HONDA/NXR150 BROS (GOIANESIA),PRETA/1251,2009,157,5/5,10526743,10/01/20,,,,,,,
7963-KEJ,VW/GOL 16V PLUS,CINZA,01/01,157,6/11,13048486,10/12/19,,,,,,,
7979-JZB,VW/ SANTANA,AZUL/8162,96/96,155,23/9,24459834,27/04/22,,,,,,,
7982-LBT,HYUNDAI/ HR HDB,BRANCA/7430,08/09,157,15/12,13120931,09/06/19,,,,,,,
7985-ONB,HYUNDAI/HB20 1.0M CONFORT,VERMELHA/1962,15/15,157,15/1,8948833,16/12/19,,,,,,,
7989- PRV,HONDA/CG 160 FAN ,VERM/6199,19/19,155,08/10,32556646,08/10/23,,,,,,,
7994-NLI,HYUNDAI/HB20S 1.0M COMF ,PRETA/4410,13/14,157,19/2,9493913,15/01/19,,,,,,,
7996-KCZ,I/TRAXX JL 110,VERM/0263,07/08,155,1/10,16663239,06/03/19,,,,,,,
7A14-JUX,HONDA/CG150 TITAN KS,VERM/6506,44718,155,5/3,23795598,11/03/22,,,,,,,
7A14-OKH,VW/NOVO GOL ,BRANCA/4133,14/14,157,24/04,24423621,25/04/22,,,,,,,
7A61-REJ,HONDA/CG 160 FAN,PRETA/8059,20/21,155,29/10,32630530,30/10/23,,,,,,,
7B72-SCT,RENAULT/ KWID ZEN ,PRATA/2626,22/23,155,02/10,SEM RAI ,,,,,,,,
7C00-ERC,FORD/KA,VERM/6850,10/11,155,23/12,39459309,24/12/24,,,,,,,
7C41-JJV,HONDA/CG 150 FAN ESI,PRETA/9409,10/10,155,11/01,39742201,12I01\25,,,,,,,
7D47-GYV,FIAT/PALIO EX,CINZA/9786,00/00,155,01/24,39108773,03\12\24,,,,,,,
7F01-ONA,YAMAHA/ FAZER YS250,PRETA/2313,12/13,155,17/06,25256539,17/06/22,,,,,,,
7F24-RCC,KIA/ SOUL EX 1.6 FF AT,PRETA/5770,11/11,157,15/11,13448939,08/10/20,,,,,,,
7F35-CIN,VW PARATI CL 1.6 MI,BRANCA/9372,97/97,155,26/03,40950493,27/03/25,,,,,,,
7F37-EIA,VW/FOX EXTREME,PRATA/3662,08/09,155,16/03,4070825,17/03/25,,,,,,,
7F78-NGR,HONDA/CG 150 TITAN ESD,VERM/8359,07/08,155,25/04,24441790,26/04/22,,,,,,,
7G02-NXN,VW/ SAVEIRO 1.6 CROSS,BRANC/0697,12/12,157,25/03,35458136,25/04/24,,,,,,,
7G04-HAN,FIAT/STRADA ADV,AZUL/6254,04/04,157,28/10,27212691,03/11/22,,,,,,,
7H10-PAE,RENALT / SANDERO EXPR 1.0,PRETA/0929,15/15,157,20/4,19208992,04/09/07,,,,,,,
7J43-NGM,HONDA CG 125 FAN,PRETA/6599,07/07,155,09/11,27315924,10/11/22,,,,,,,
7J66-RBP,HONDA/CG 125 FAN,VERM/7218,18/18,155,31/05,30365280,03/06/23,,,,,,,
8008-CQA,KIA/CERATTO SX3,PRATA/1391,12/13,157,18/9,12005170,13/01/20,,,,,,,
8014-PQQ,MERCEDES BENZ LK 1519,AMARE,81,155,21/2,14104340,19/09/19,,,,,,,
8021-NFD(GOIANÁPOLIS),HONDA/CG 125 TITAN ES,AZUL/4510,03/04,155,27/12,33550425,28/12/23,,,,,,,
8044-NKB,NISSAN/VERSA ,CINZA/5242,15/16,155,28/9,12168436,05/03/20,,,,,,,
8129-NKD,HONDA/CG 150 TITAN ES,VERME/5059,07/08,155,20/06,30634246,20/06/23,,,,,,,
8134-KCW,HONDA/CG 125 TITAN,VERM/6497,96/97,155,03/07,25442356,03/07/22,,,,,,,
8165-JFG,ONIX JOY,CINZA/2817,19/20,157,3/3,14089718,01/10/19,,,,,,,
8186-JFT,FIAT PALIO EX ,AZUL/7995,99/00,155,02/04,24086593,02/04/22,,,,,,,
8190-JEW,FIAT/PALIO ED,VERME/1243,96/97,155,03/11,22859043,11/01/22,,,,,,,
8201-OMU,HONDA/CG 125 FAN,VERM/6554,13/13,155,16/3,18719801,20/03/21,,,,,,,
8202-NLJ,PEUGEOT 207HB XR,BRANCA/9172,10/11,157,30/1,14168653,04/03/20,,,,,,,
8233-KAW,PEUGEOT/207HB XR,PRETA/4511,12/13,157,7/10,16659654,10/03/20,,,,,,,
8259-KCA,IMP/VW GOL CL 1.8,BRANCA/3460,94/95,155,12/11,22043606,15/11/21,,,,,,,
8259-KCA,VW GOL CL  ,BRANC/3460,94/95,155,17/07,,,,,,,,,
8282-ONP,YAMAHA/NEO AT 115,CINZA/4325,43590,157,6/1,8867905,07/10/20,,,,,,,
8284-JHE,RENALT/SCENIC,PRATA/5970,09/10,155,5/11,12627533,06/01/19,,,,,,,
8289-NGZ,HONDA/CG 125 FAN,PRETA/0426,07/08,155,01/06,30370584,03/06/23,,,,,,,
8292-JEF,VW/GOL CLI,BRANCA/3887,96/96,155,12/7,20260828,13/07/21,,,,,,,
8292-NLE,HONDA/CG 125 FAN ES,PRETA/0790,09/09,155,19/09,26845934,08/10/22,,,,,,,
8306-KFA,RENAULT/DUSTER 16D 4X2,PRATA/3299,13/14,157,16/8,117471607,07/11/19,,,,,,,
8319-NKR,VW/GOL,PRETA,O9/10,155,3/5,19272424,03/05/21,,,,,,,
8324-NGC,GM-BLAZER ADV,AZUL,06/06,155,23/3,20213039,09/07/21,,,,,,,
8342-NKP,RENAULT/KWID ZEN 10MT ,VERMELHA/6344,18/19,157,25/2,9787828,30/08/19,,,,,,,
8351-JYA,VW/PARATI GL 1.8,PRETA/6182,93/94,155,7/12,17463126,12/12/20,,,,,,,
8351-PRF,HONDA/BIZ 110I,VERM,17/18,157,28/3,14475839,06/04/20,,,,,,,
8374-NGK,YAMAHA/YBR 125E,PRETA/7198,44353,155,19/3,18721685,20/03/21,,,,,,,
8375-JJO,SAVEIRO CROS 1.6,VERMELHA/9773,2011,157,5/5,10298376,08/01/20,,,,,,,
8375-OGT,HONDA/CG150 TITAN EX,VERM/2378,12/12,155,31/12,28054405,01/01/23,,,,,,,
8389-KBQ,FIAT/UNO MILLE ELETRONIC,VERDE/7311,94/94,155,18/04,29678401,21/04/23,,,,,,,
8391-KCR,VW/ GOL MI,CINZA/6511,97/97,155,18/05,36149829,05/06/24,,,,,,,
8400-NWB,TOYOTA / HILUX CD4X4 SRV,PRATA,10/10,157,2/10,14733883,29/04/20,,,,,,,
